Epoch: 1
Loss: 2.303682804107666, Accuracy: 0.008333333333333333%
Loss: 2.30179500579834, Accuracy: 0.016666666666666666%
Loss: 2.302687644958496, Accuracy: 0.028333333333333332%
Loss: 2.2826340198516846, Accuracy: 0.043333333333333335%
Loss: 2.2977347373962402, Accuracy: 0.056666666666666664%
Loss: 2.2897937297821045, Accuracy: 0.07%
Loss: 2.2758712768554688, Accuracy: 0.08833333333333333%
Loss: 2.2763671875, Accuracy: 0.10333333333333333%
Loss: 2.27112078666687, Accuracy: 0.12%
Loss: 2.275496482849121, Accuracy: 0.14%
Loss: 2.2677161693573, Accuracy: 0.15333333333333332%
Loss: 2.2658543586730957, Accuracy: 0.17166666666666666%
Loss: 2.261387586593628, Accuracy: 0.19%
Loss: 2.265233278274536, Accuracy: 0.205%
Loss: 2.2622315883636475, Accuracy: 0.22166666666666668%
Loss: 2.25921368598938, Accuracy: 0.24166666666666667%
Loss: 2.2571682929992676, Accuracy: 0.2683333333333333%
Loss: 2.255117177963257, Accuracy: 0.29833333333333334%
Loss: 2.217693328857422, Accuracy: 0.33%
Loss: 2.2402889728546143, Accuracy: 0.35833333333333334%
Loss: 2.192948579788208, Accuracy: 0.39%
Loss: 2.2242748737335205, Accuracy: 0.4216666666666667%
Loss: 2.246715784072876, Accuracy: 0.44333333333333336%
Loss: 2.2311930656433105, Accuracy: 0.47%
Loss: 2.239924430847168, Accuracy: 0.5%
Loss: 2.1809566020965576, Accuracy: 0.5416666666666666%
Loss: 2.2027082443237305, Accuracy: 0.5816666666666667%
Loss: 2.1959450244903564, Accuracy: 0.615%
Loss: 2.1896934509277344, Accuracy: 0.645%
Loss: 2.157548666000366, Accuracy: 0.69%
Loss: 2.164156436920166, Accuracy: 0.7283333333333334%
Loss: 2.186446189880371, Accuracy: 0.765%
Loss: 2.145763397216797, Accuracy: 0.8%
Loss: 2.165625810623169, Accuracy: 0.845%
Loss: 2.1475486755371094, Accuracy: 0.8833333333333333%
Loss: 2.1648788452148438, Accuracy: 0.92%
Loss: 2.12469220161438, Accuracy: 0.9583333333333334%
Loss: 2.160482168197632, Accuracy: 0.995%
Loss: 2.158724069595337, Accuracy: 1.0316666666666667%
Loss: 2.136690616607666, Accuracy: 1.075%
Loss: 2.1036956310272217, Accuracy: 1.1233333333333333%
Loss: 2.111029863357544, Accuracy: 1.165%
Loss: 2.092682123184204, Accuracy: 1.2183333333333333%
Loss: 2.0790233612060547, Accuracy: 1.2683333333333333%
Loss: 2.0513064861297607, Accuracy: 1.335%
Loss: 2.090794801712036, Accuracy: 1.3833333333333333%
Loss: 2.1101131439208984, Accuracy: 1.4333333333333333%
Loss: 2.0587992668151855, Accuracy: 1.485%
Loss: 2.0812273025512695, Accuracy: 1.5266666666666666%
Loss: 2.069298028945923, Accuracy: 1.5716666666666668%
Loss: 2.0177245140075684, Accuracy: 1.6283333333333334%
Loss: 2.0492303371429443, Accuracy: 1.6766666666666667%
Loss: 2.0050106048583984, Accuracy: 1.73%
Loss: 2.043739080429077, Accuracy: 1.7816666666666667%
Loss: 2.0330851078033447, Accuracy: 1.83%
Loss: 2.0179078578948975, Accuracy: 1.885%
Loss: 1.988357424736023, Accuracy: 1.9333333333333333%
Loss: 1.9660242795944214, Accuracy: 1.985%
Loss: 1.9884475469589233, Accuracy: 2.033333333333333%
Loss: 1.9618043899536133, Accuracy: 2.095%
Loss: 1.9195822477340698, Accuracy: 2.165%
Loss: 1.9579086303710938, Accuracy: 2.2266666666666666%
Loss: 1.9159265756607056, Accuracy: 2.285%
