Epoch: 1
Loss: 2.3112027645111084, Accuracy: 0.01%
Loss: 2.3137025833129883, Accuracy: 0.018333333333333333%
Loss: 2.304347038269043, Accuracy: 0.03%
Loss: 2.3184828758239746, Accuracy: 0.03833333333333333%
Loss: 2.2911019325256348, Accuracy: 0.06166666666666667%
Loss: 2.2800087928771973, Accuracy: 0.07833333333333334%
Loss: 2.3065426349639893, Accuracy: 0.085%
Loss: 2.296322822570801, Accuracy: 0.1%
Loss: 2.2997164726257324, Accuracy: 0.11333333333333333%
Loss: 2.290432929992676, Accuracy: 0.12666666666666668%
Loss: 2.3049850463867188, Accuracy: 0.14166666666666666%
Loss: 2.303083896636963, Accuracy: 0.15333333333333332%
Loss: 2.2758114337921143, Accuracy: 0.16833333333333333%
Loss: 2.28897762298584, Accuracy: 0.18166666666666667%
Loss: 2.2911441326141357, Accuracy: 0.19666666666666666%
Loss: 2.284562349319458, Accuracy: 0.21333333333333335%
Loss: 2.2804758548736572, Accuracy: 0.23%
Loss: 2.2907307147979736, Accuracy: 0.24666666666666667%
Loss: 2.2696871757507324, Accuracy: 0.26%
Loss: 2.2796435356140137, Accuracy: 0.275%
Loss: 2.259894847869873, Accuracy: 0.29833333333333334%
Loss: 2.285231590270996, Accuracy: 0.32166666666666666%
Loss: 2.251929521560669, Accuracy: 0.3433333333333333%
Loss: 2.277597427368164, Accuracy: 0.3616666666666667%
Loss: 2.2714293003082275, Accuracy: 0.37333333333333335%
Loss: 2.2527966499328613, Accuracy: 0.4%
Loss: 2.263596296310425, Accuracy: 0.425%
Loss: 2.2615842819213867, Accuracy: 0.445%
Loss: 2.246107578277588, Accuracy: 0.465%
Loss: 2.2580957412719727, Accuracy: 0.48833333333333334%
Loss: 2.225437879562378, Accuracy: 0.52%
Loss: 2.248037815093994, Accuracy: 0.5416666666666666%
Loss: 2.2488555908203125, Accuracy: 0.5716666666666667%
Loss: 2.229234457015991, Accuracy: 0.6083333333333333%
Loss: 2.2159030437469482, Accuracy: 0.6383333333333333%
Loss: 2.22654390335083, Accuracy: 0.6666666666666666%
Loss: 2.2173378467559814, Accuracy: 0.6983333333333334%
Loss: 2.2418110370635986, Accuracy: 0.7266666666666667%
Loss: 2.2266957759857178, Accuracy: 0.765%
Loss: 2.2208244800567627, Accuracy: 0.7983333333333333%
