Epoch: 1
Loss: 1.3274238109588623, Accuracy: 5.711666666666667%
Loss: 1.274401307106018, Accuracy: 5.786666666666667%
Loss: 1.4734681844711304, Accuracy: 5.851666666666667%
Loss: 1.501856803894043, Accuracy: 5.913333333333333%
Loss: 1.4851051568984985, Accuracy: 5.986666666666666%
Loss: 1.3380520343780518, Accuracy: 6.06%
Loss: 1.4372483491897583, Accuracy: 6.133333333333334%
Loss: 1.381994366645813, Accuracy: 6.201666666666667%
Loss: 1.2423808574676514, Accuracy: 6.278333333333333%
Loss: 1.3597248792648315, Accuracy: 6.35%
Loss: 1.244883418083191, Accuracy: 6.418333333333333%
Loss: 1.3236534595489502, Accuracy: 6.49%
Loss: 1.1615251302719116, Accuracy: 6.565%
Loss: 1.162999153137207, Accuracy: 6.636666666666667%
Loss: 1.1983294486999512, Accuracy: 6.701666666666667%
Loss: 1.2207173109054565, Accuracy: 6.7683333333333335%
Loss: 1.125531554222107, Accuracy: 6.846666666666667%
Loss: 1.110341191291809, Accuracy: 6.931666666666667%
Loss: 1.4078871011734009, Accuracy: 7.0%
Loss: 1.1136207580566406, Accuracy: 7.075%
Loss: 1.0791471004486084, Accuracy: 7.153333333333333%
Loss: 1.2875628471374512, Accuracy: 7.221666666666667%
Loss: 1.1819465160369873, Accuracy: 7.29%
Loss: 0.9346295595169067, Accuracy: 7.373333333333333%
Loss: 0.9331129193305969, Accuracy: 7.451666666666667%
Loss: 1.2277722358703613, Accuracy: 7.5183333333333335%
Loss: 1.3820480108261108, Accuracy: 7.581666666666667%
Loss: 1.177046537399292, Accuracy: 7.651666666666666%
Loss: 1.3386543989181519, Accuracy: 7.715%
Loss: 0.9397850632667542, Accuracy: 7.796666666666667%
Loss: 1.0274258852005005, Accuracy: 7.873333333333333%
Loss: 0.9821835160255432, Accuracy: 7.958333333333333%
Loss: 1.0714294910430908, Accuracy: 8.038333333333334%
Loss: 0.9869029521942139, Accuracy: 8.113333333333333%
Loss: 1.1996203660964966, Accuracy: 8.183333333333334%
Loss: 1.0294893980026245, Accuracy: 8.255%
Loss: 1.0118387937545776, Accuracy: 8.33%
Loss: 1.0326449871063232, Accuracy: 8.406666666666666%
Loss: 0.8858909606933594, Accuracy: 8.49%
Loss: 1.196519136428833, Accuracy: 8.563333333333333%
Loss: 0.9724199771881104, Accuracy: 8.643333333333333%
Loss: 0.807440996170044, Accuracy: 8.73%
Loss: 1.1007734537124634, Accuracy: 8.806666666666667%
Loss: 0.9159301519393921, Accuracy: 8.885%
Loss: 0.8199518322944641, Accuracy: 8.968333333333334%
Loss: 0.8646613359451294, Accuracy: 9.051666666666666%
Loss: 0.8437433838844299, Accuracy: 9.131666666666666%
Loss: 1.0600913763046265, Accuracy: 9.21%
Loss: 0.9129155278205872, Accuracy: 9.29%
Loss: 1.0604733228683472, Accuracy: 9.358333333333333%
Loss: 0.9629273414611816, Accuracy: 9.43%
Loss: 0.7775027751922607, Accuracy: 9.513333333333334%
Loss: 0.823789656162262, Accuracy: 9.596666666666666%
Loss: 0.919094443321228, Accuracy: 9.671666666666667%
Loss: 0.7480767369270325, Accuracy: 9.756666666666666%
Loss: 0.8768965601921082, Accuracy: 9.836666666666666%
Loss: 0.9087628126144409, Accuracy: 9.913333333333334%
Loss: 0.9634138941764832, Accuracy: 9.993333333333334%
Loss: 0.9757959246635437, Accuracy: 10.065%
Loss: 0.7339857816696167, Accuracy: 10.151666666666667%
Loss: 0.8148717284202576, Accuracy: 10.233333333333333%
Loss: 0.8062636852264404, Accuracy: 10.32%
Loss: 0.6863100528717041, Accuracy: 10.411666666666667%
Loss: 0.9570148587226868, Accuracy: 10.486666666666666%
Loss: 0.9463133215904236, Accuracy: 10.56%
Loss: 1.003806710243225, Accuracy: 10.635%
Loss: 0.8365259766578674, Accuracy: 10.71%
Loss: 0.9242398738861084, Accuracy: 10.795%
Loss: 0.7098240256309509, Accuracy: 10.886666666666667%
Loss: 0.8106005191802979, Accuracy: 10.97%
Loss: 0.9039191603660583, Accuracy: 11.045%
Loss: 0.9228273630142212, Accuracy: 11.123333333333333%
Loss: 0.9285711050033569, Accuracy: 11.205%
Loss: 0.9794793725013733, Accuracy: 11.273333333333333%
Loss: 0.8079642057418823, Accuracy: 11.356666666666667%
Loss: 0.9229828119277954, Accuracy: 11.43%
Loss: 0.9774182438850403, Accuracy: 11.501666666666667%
Loss: 0.7054225206375122, Accuracy: 11.591666666666667%
Loss: 0.8101741075515747, Accuracy: 11.671666666666667%
Loss: 0.713688313961029, Accuracy: 11.755%
Loss: 0.8334538340568542, Accuracy: 11.833333333333334%
Loss: 0.9042072296142578, Accuracy: 11.915%
Loss: 0.926631510257721, Accuracy: 11.993333333333334%
Loss: 0.9172508120536804, Accuracy: 12.07%
Loss: 0.9251598119735718, Accuracy: 12.146666666666667%
Loss: 0.9028649926185608, Accuracy: 12.225%
Loss: 1.0220459699630737, Accuracy: 12.298333333333334%
Loss: 0.9377906918525696, Accuracy: 12.375%
Loss: 0.8485897779464722, Accuracy: 12.463333333333333%
Loss: 0.8831081986427307, Accuracy: 12.543333333333333%
Loss: 0.7210500240325928, Accuracy: 12.63%
Loss: 0.8277448415756226, Accuracy: 12.706666666666667%
Loss: 1.1874351501464844, Accuracy: 12.768333333333333%
Loss: 1.000248908996582, Accuracy: 12.841666666666667%
Loss: 1.0677355527877808, Accuracy: 12.913333333333334%
Loss: 0.9293520450592041, Accuracy: 12.995%
Loss: 0.7697619795799255, Accuracy: 13.076666666666666%
Loss: 0.9001880884170532, Accuracy: 13.153333333333334%
Loss: 0.9125813245773315, Accuracy: 13.235%
Loss: 0.8057831525802612, Accuracy: 13.316666666666666%
Loss: 0.5877195596694946, Accuracy: 13.411666666666667%
Loss: 0.6124227046966553, Accuracy: 13.5%
Loss: 0.5710430145263672, Accuracy: 13.59%
Loss: 0.8779071569442749, Accuracy: 13.666666666666666%
Loss: 0.9739435911178589, Accuracy: 13.74%
Loss: 0.7128759622573853, Accuracy: 13.828333333333333%
Loss: 0.6924421191215515, Accuracy: 13.913333333333334%
Loss: 0.8604156374931335, Accuracy: 13.988333333333333%
Loss: 1.0580706596374512, Accuracy: 14.053333333333333%
Loss: 0.8706802725791931, Accuracy: 14.133333333333333%
Loss: 0.8164215683937073, Accuracy: 14.215%
Loss: 0.9046042561531067, Accuracy: 14.283333333333333%
Loss: 0.8046960830688477, Accuracy: 14.365%
